      Step     Time          Energy          fmax
FIRE:    0 23:14:19     -407.136983      174.088366
FIRE:    1 23:14:20     -438.874600       83.770517
FIRE:    2 23:14:21     -455.127188       56.149675
FIRE:    3 23:14:21     -464.749608       40.688432
FIRE:    4 23:14:22     -470.743048       24.838579
FIRE:    5 23:14:23     -474.187563       11.804539
FIRE:    6 23:14:23     -475.608888        4.666703
FIRE:    7 23:14:24     -475.872357        4.215982
FIRE:    8 23:14:25     -476.003891        3.699927
FIRE:    9 23:14:25     -476.219221        2.828415
FIRE:   10 23:14:26     -476.451014        2.408370
FIRE:   11 23:14:27     -476.643942        1.857652
FIRE:   12 23:14:27     -476.769536        1.191650
FIRE:   13 23:14:28     -476.825183        0.884783
FIRE:   14 23:14:29     -476.827557        1.046960
FIRE:   15 23:14:29     -476.830527        1.031277
FIRE:   16 23:14:30     -476.836305        1.000041
FIRE:   17 23:14:31     -476.844578        0.953523
FIRE:   18 23:14:31     -476.854900        0.892159
FIRE:   19 23:14:32     -476.866720        0.816573
FIRE:   20 23:14:33     -476.879422        0.727628
FIRE:   21 23:14:33     -476.892364        0.626497
FIRE:   22 23:14:34     -476.906201        0.502399
FIRE:   23 23:14:35     -476.920046        0.422539
FIRE:   24 23:14:35     -476.932735        0.382122
FIRE:   25 23:14:36     -476.943119        0.411276
FIRE:   26 23:14:37     -476.950755        0.491717
FIRE:   27 23:14:37     -476.956612        0.564491
FIRE:   28 23:14:38     -476.963005        0.612102
FIRE:   29 23:14:38     -476.972642        0.620665
FIRE:   30 23:14:39     -476.987246        0.578364
FIRE:   31 23:14:40     -477.006188        0.476457
FIRE:   32 23:14:41     -477.026198        0.398948
FIRE:   33 23:14:41     -477.043775        0.452133
FIRE:   34 23:14:42     -477.060010        0.490967
FIRE:   35 23:14:43     -477.080955        0.488979
FIRE:   36 23:14:43     -477.109938        0.423403
FIRE:   37 23:14:44     -477.140307        0.302040
FIRE:   38 23:14:44     -477.163424        0.430600
FIRE:   39 23:14:45     -477.185056        0.476394
FIRE:   40 23:14:46     -477.206628        0.217443
FIRE:   41 23:14:46     -477.216448        0.256892
FIRE:   42 23:14:47     -477.218760        0.206474
FIRE:   43 23:14:48     -477.222137        0.127643
FIRE:   44 23:14:48     -477.225059        0.092492
FIRE:   45 23:14:49     -477.226968        0.135561
FIRE:   46 23:14:50     -477.228550        0.170757
FIRE:   47 23:14:50     -477.230573        0.194303
FIRE:   48 23:14:51     -477.232971        0.170042
FIRE:   49 23:14:52     -477.235243        0.097516
FIRE:   50 23:14:52     -477.236641        0.108796
FIRE:   51 23:14:53     -477.237674        0.117361
FIRE:   52 23:14:54     -477.239272        0.109309
FIRE:   53 23:14:54     -477.240694        0.076316
FIRE:   54 23:14:55     -477.240817        0.112919
FIRE:   55 23:14:56     -477.241060        0.099118
FIRE:   56 23:14:56     -477.241435        0.074013
