      Step     Time          Energy          fmax
FIRE:    0 23:15:07     -469.519395        2.166252
FIRE:    1 23:15:07     -469.708453        2.041468
FIRE:    2 23:15:08     -470.041313        1.751152
FIRE:    3 23:15:09     -470.418719        1.225857
FIRE:    4 23:15:09     -470.698246        0.458385
FIRE:    5 23:15:10     -470.765794        0.453071
FIRE:    6 23:15:11     -470.771634        0.427225
FIRE:    7 23:15:11     -470.782062        0.377136
FIRE:    8 23:15:12     -470.794856        0.305894
FIRE:    9 23:15:13     -470.807327        0.217855
FIRE:   10 23:15:13     -470.816923        0.118399
FIRE:   11 23:15:14     -470.821821        0.042865
FIRE:   12 23:15:15     -470.821644        0.083661
FIRE:   13 23:15:15     -470.821700        0.082626
FIRE:   14 23:15:16     -470.821809        0.080569
FIRE:   15 23:15:17     -470.821966        0.077519
FIRE:   16 23:15:17     -470.822162        0.073516
FIRE:   17 23:15:18     -470.822387        0.068614
FIRE:   18 23:15:19     -470.822631        0.062882
FIRE:   19 23:15:19     -470.822880        0.056400
FIRE:   20 23:15:20     -470.823148        0.048472
FIRE:   21 23:15:21     -470.823415        0.038955
FIRE:   22 23:15:21     -470.823654        0.027781
FIRE:   23 23:15:22     -470.823830        0.015061
      Step     Time          Energy          fmax
FIRE:    0 23:16:44     -469.519395        2.166252
FIRE:    1 23:16:44     -469.708453        2.041468
FIRE:    2 23:16:45     -470.041313        1.751152
FIRE:    3 23:16:46     -470.418719        1.225857
FIRE:    4 23:16:46     -470.698246        0.458385
FIRE:    5 23:16:47     -470.765794        0.453071
FIRE:    6 23:16:48     -470.771634        0.427225
FIRE:    7 23:16:48     -470.782062        0.377136
FIRE:    8 23:16:49     -470.794856        0.305894
FIRE:    9 23:16:49     -470.807327        0.217855
FIRE:   10 23:16:50     -470.816923        0.118399
FIRE:   11 23:16:51     -470.821821        0.042865
FIRE:   12 23:16:51     -470.821644        0.083661
FIRE:   13 23:16:52     -470.821700        0.082626
FIRE:   14 23:16:53     -470.821809        0.080569
FIRE:   15 23:16:53     -470.821966        0.077519
FIRE:   16 23:16:54     -470.822162        0.073516
FIRE:   17 23:16:54     -470.822387        0.068614
FIRE:   18 23:16:55     -470.822631        0.062882
FIRE:   19 23:16:56     -470.822880        0.056400
FIRE:   20 23:16:56     -470.823148        0.048472
FIRE:   21 23:16:57     -470.823415        0.038955
FIRE:   22 23:16:58     -470.823654        0.027781
FIRE:   23 23:16:58     -470.823830        0.015061
      Step     Time          Energy          fmax
FIRE:    0 23:28:12     -469.519395        2.166252
FIRE:    1 23:28:13     -469.708453        2.041468
FIRE:    2 23:28:14     -470.041313        1.751152
FIRE:    3 23:28:14     -470.418719        1.225857
FIRE:    4 23:28:15     -470.698246        0.458385
FIRE:    5 23:28:15     -470.765794        0.453071
FIRE:    6 23:28:16     -470.771634        0.427225
FIRE:    7 23:28:17     -470.782062        0.377136
FIRE:    8 23:28:17     -470.794856        0.305894
FIRE:    9 23:28:18     -470.807327        0.217855
FIRE:   10 23:28:19     -470.816923        0.118399
FIRE:   11 23:28:19     -470.821821        0.042865
FIRE:   12 23:28:20     -470.821644        0.083661
FIRE:   13 23:28:21     -470.821700        0.082626
FIRE:   14 23:28:21     -470.821809        0.080569
FIRE:   15 23:28:22     -470.821966        0.077519
FIRE:   16 23:28:22     -470.822162        0.073516
FIRE:   17 23:28:23     -470.822387        0.068614
FIRE:   18 23:28:24     -470.822631        0.062882
FIRE:   19 23:28:24     -470.822880        0.056400
FIRE:   20 23:28:25     -470.823148        0.048472
FIRE:   21 23:28:26     -470.823415        0.038955
FIRE:   22 23:28:26     -470.823654        0.027781
FIRE:   23 23:28:27     -470.823830        0.015061
