      Step     Time          Energy          fmax
FIRE:    0 23:14:12     -473.083712        0.265953
FIRE:    1 23:14:13     -473.095874        0.215852
FIRE:    2 23:14:13     -473.111409        0.126809
FIRE:    3 23:14:14     -473.119786        0.061439
FIRE:    4 23:14:14     -473.118022        0.127697
FIRE:    5 23:14:15     -473.118568        0.121158
FIRE:    6 23:14:16     -473.119542        0.108425
FIRE:    7 23:14:16     -473.120734        0.090169
FIRE:    8 23:14:17     -473.121887        0.067350
FIRE:    9 23:14:18     -473.122756        0.041172
FIRE:   10 23:14:18     -473.123161        0.013039
      Step     Time          Energy          fmax
FIRE:    0 23:15:49     -473.083712        0.265953
FIRE:    1 23:15:49     -473.095874        0.215852
FIRE:    2 23:15:50     -473.111409        0.126809
FIRE:    3 23:15:51     -473.119786        0.061439
FIRE:    4 23:15:51     -473.118022        0.127697
FIRE:    5 23:15:52     -473.118568        0.121158
FIRE:    6 23:15:52     -473.119542        0.108425
FIRE:    7 23:15:53     -473.120734        0.090169
FIRE:    8 23:15:54     -473.121887        0.067350
FIRE:    9 23:15:54     -473.122756        0.041172
FIRE:   10 23:15:55     -473.123161        0.013039
      Step     Time          Energy          fmax
FIRE:    0 23:27:16     -473.083712        0.265953
FIRE:    1 23:27:17     -473.095874        0.215852
FIRE:    2 23:27:18     -473.111409        0.126809
FIRE:    3 23:27:19     -473.119786        0.061439
FIRE:    4 23:27:19     -473.118022        0.127697
FIRE:    5 23:27:20     -473.118568        0.121158
FIRE:    6 23:27:21     -473.119542        0.108425
FIRE:    7 23:27:21     -473.120734        0.090169
FIRE:    8 23:27:22     -473.121887        0.067350
FIRE:    9 23:27:23     -473.122756        0.041172
FIRE:   10 23:27:23     -473.123161        0.013039
