      Step     Time          Energy          fmax
FIRE:    0 23:14:01     -460.258882        0.459265
FIRE:    1 23:14:02     -460.274330        0.460729
FIRE:    2 23:14:03     -460.302301        0.461271
FIRE:    3 23:14:03     -460.338548        0.455990
FIRE:    4 23:14:04     -460.379437        0.437825
FIRE:    5 23:14:05     -460.422427        0.398881
FIRE:    6 23:14:05     -460.464598        0.332680
FIRE:    7 23:14:06     -460.501024        0.236649
FIRE:    8 23:14:07     -460.527119        0.101034
FIRE:    9 23:14:07     -460.533369        0.055512
FIRE:   10 23:14:08     -460.533640        0.052930
FIRE:   11 23:14:09     -460.534112        0.047940
FIRE:   12 23:14:09     -460.534662        0.040876
FIRE:   13 23:14:10     -460.535153        0.032214
FIRE:   14 23:14:11     -460.535472        0.022571
FIRE:   15 23:14:11     -460.535573        0.013656
      Step     Time          Energy          fmax
FIRE:    0 23:15:38     -460.258882        0.459265
FIRE:    1 23:15:38     -460.274330        0.460729
FIRE:    2 23:15:39     -460.302301        0.461271
FIRE:    3 23:15:40     -460.338548        0.455990
FIRE:    4 23:15:40     -460.379437        0.437825
FIRE:    5 23:15:41     -460.422427        0.398881
FIRE:    6 23:15:42     -460.464598        0.332680
FIRE:    7 23:15:42     -460.501024        0.236649
FIRE:    8 23:15:43     -460.527119        0.101034
FIRE:    9 23:15:44     -460.533369        0.055512
FIRE:   10 23:15:45     -460.533640        0.052930
FIRE:   11 23:15:45     -460.534112        0.047940
FIRE:   12 23:15:46     -460.534662        0.040876
FIRE:   13 23:15:46     -460.535153        0.032214
FIRE:   14 23:15:47     -460.535472        0.022571
FIRE:   15 23:15:48     -460.535573        0.013656
      Step     Time          Energy          fmax
FIRE:    0 23:27:06     -460.258882        0.459265
FIRE:    1 23:27:06     -460.274330        0.460729
FIRE:    2 23:27:07     -460.302301        0.461271
FIRE:    3 23:27:08     -460.338548        0.455990
FIRE:    4 23:27:08     -460.379437        0.437825
FIRE:    5 23:27:09     -460.422427        0.398881
FIRE:    6 23:27:10     -460.464598        0.332680
FIRE:    7 23:27:10     -460.501024        0.236649
FIRE:    8 23:27:11     -460.527119        0.101034
FIRE:    9 23:27:12     -460.533369        0.055512
FIRE:   10 23:27:12     -460.533640        0.052930
FIRE:   11 23:27:13     -460.534112        0.047940
FIRE:   12 23:27:14     -460.534662        0.040876
FIRE:   13 23:27:14     -460.535153        0.032214
FIRE:   14 23:27:15     -460.535472        0.022571
FIRE:   15 23:27:16     -460.535573        0.013656
