Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -475.3061    -477.2432       1.9372   272.5
0.0150        -475.2991    -476.0224       0.7233   101.7
0.0300        -475.2917    -476.3023       1.0106   142.2
0.0450        -475.2627    -476.1968       0.9341   131.4
0.0600        -475.2379    -475.9328       0.6948    97.7
0.0750        -475.1956    -476.1602       0.9646   135.7
0.0900        -475.1531    -475.9374       0.7844   110.3
0.1050        -475.0980    -476.5187       1.4207   199.8
0.1200        -475.0412    -476.0260       0.9848   138.5
0.1350        -474.9988    -476.4929       1.4940   210.2
0.1500        -474.9481    -476.0858       1.1376   160.0
0.1650        -474.9170    -475.9077       0.9907   139.3
0.1800        -474.8724    -476.2114       1.3390   188.3
0.1950        -474.8301    -475.6365       0.8065   113.4
0.2100        -474.7865    -476.2313       1.4448   203.2
0.2250        -474.7191    -476.0740       1.3548   190.6
0.2400        -474.6662    -475.7995       1.1333   159.4
0.2550        -474.6113    -475.7948       1.1835   166.5
0.2700        -474.5519    -475.8796       1.3277   186.7
0.2850        -474.4804    -476.0736       1.5933   224.1
0.3000        -474.4132    -475.7006       1.2874   181.1
0.3150        -474.3442    -476.1574       1.8132   255.0
0.3300        -474.2685    -475.6874       1.4189   199.6
0.3450        -474.2115    -475.6634       1.4519   204.2
0.3600        -474.1377    -475.7722       1.6346   229.9
0.3750        -474.0815    -475.0599       0.9784   137.6
0.3900        -474.0246    -475.4952       1.4706   206.9
0.4050        -473.9472    -475.6235       1.6763   235.8
0.4200        -473.8660    -475.7205       1.8545   260.9
0.4350        -473.7834    -475.7049       1.9215   270.3
0.4500        -473.7055    -475.7598       2.0542   289.0
0.4650        -473.6319    -475.3780       1.7461   245.6
0.4800        -473.5753    -475.0297       1.4544   204.6
0.4950        -473.5064    -475.5747       2.0683   290.9
0.5100        -473.4291    -475.3192       1.8900   265.9
0.5250        -473.3596    -475.4531       2.0935   294.5
0.5400        -473.2829    -475.5526       2.2697   319.3
0.5550        -473.2155    -475.4026       2.1872   307.6
0.5700        -473.1510    -475.4397       2.2887   321.9
0.5850        -473.0960    -475.0210       1.9250   270.8
0.6000        -473.0435    -475.2676       2.2241   312.8
0.6150        -472.9874    -475.1144       2.1270   299.2
0.6300        -472.9374    -475.1820       2.2446   315.7
0.6450        -472.8846    -475.3611       2.4765   348.3
0.6600        -472.8403    -474.8910       2.0506   288.4
0.6750        -472.8018    -475.1223       2.3205   326.4
0.6900        -472.7616    -474.9101       2.1485   302.2
0.7050        -472.7271    -474.8539       2.1268   299.2
0.7200        -472.6902    -475.1802       2.4900   350.2
0.7350        -472.6564    -474.9084       2.2520   316.8
0.7500        -472.6300    -475.5056       2.8756   404.5
0.7650        -472.6131    -475.1663       2.5532   359.1
0.7800        -472.6107    -475.1704       2.5597   360.1
0.7950        -472.6192    -475.1593       2.5401   357.3
0.8100        -472.6300    -474.4760       1.8459   259.7
0.8250        -472.6431    -475.0515       2.4084   338.8
0.8400        -472.6552    -474.6747       2.0195   284.1
0.8550        -472.6689    -474.9731       2.3042   324.1
0.8700        -472.6899    -475.3083       2.6185   368.3
0.8850        -472.7169    -474.9003       2.1835   307.1
0.9000        -472.7499    -475.2572       2.5073   352.7
0.9150        -472.7887    -475.0505       2.2618   318.1
0.9300        -472.8287    -475.0026       2.1739   305.8
0.9450        -472.8695    -475.1322       2.2627   318.3
0.9600        -472.9175    -475.3797       2.4622   346.3
0.9750        -472.9719    -475.2651       2.2933   322.6
0.9900        -473.0208    -475.0297       2.0089   282.6
1.0050        -473.0688    -475.2559       2.1871   307.6
1.0200        -473.1156    -475.2017       2.0861   293.4
1.0350        -473.1603    -475.2552       2.0949   294.7
1.0500        -473.2029    -475.3556       2.1527   302.8
1.0650        -473.2473    -475.5192       2.2719   319.6
1.0800        -473.2946    -475.5336       2.2391   314.9
1.0950        -473.3390    -475.3736       2.0346   286.2
1.1100        -473.3787    -475.3073       1.9286   271.3
1.1250        -473.4084    -475.0567       1.6483   231.8
1.1400        -473.4304    -475.2527       1.8223   256.3
1.1550        -473.4476    -475.3054       1.8579   261.3
1.1700        -473.4606    -475.4491       1.9885   279.7
1.1850        -473.4727    -475.7200       2.2473   316.1
1.2000        -473.4877    -475.7500       2.2623   318.2
