Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -473.4877    -475.7500       2.2623   318.2
0.0150        -473.4724    -475.6025       2.1300   299.6
0.0300        -473.4283    -475.5233       2.0950   294.7
0.0450        -473.3573    -475.3381       1.9808   278.6
0.0600        -473.2649    -475.1658       1.9009   267.4
0.0750        -473.1628    -475.0345       1.8718   263.3
0.0900        -473.0496    -475.2241       2.1745   305.9
0.1050        -472.9347    -475.2225       2.2878   321.8
0.1200        -472.8286    -475.2108       2.3822   335.1
0.1350        -472.7254    -475.0478       2.3224   326.7
0.1500        -472.6248    -474.9605       2.3357   328.5
0.1650        -472.5147    -474.9514       2.4367   342.8
0.1800        -472.3853    -475.0192       2.6339   370.5
0.1950        -472.2536    -474.6099       2.3563   331.4
0.2100        -472.1153    -474.8437       2.7284   383.8
0.2250        -471.9445    -474.9538       3.0093   423.3
0.2400        -471.7749    -474.6296       2.8547   401.5
0.2550        -471.6068    -474.4248       2.8180   396.4
0.2700        -471.4378    -474.3444       2.9066   408.8
0.2850        -471.2610    -474.2730       3.0120   423.7
0.3000        -471.0768    -474.1162       3.0394   427.5
0.3150        -470.8842    -474.3415       3.4572   486.3
0.3300        -470.6687    -474.2773       3.6086   507.6
0.3450        -470.4573    -473.8532       3.3959   477.7
0.3600        -470.2571    -473.6579       3.4009   478.4
0.3750        -470.0491    -473.4227       3.3736   474.5
0.3900        -469.8342    -473.5708       3.7366   525.6
0.4050        -469.6057    -473.3011       3.6954   519.8
0.4200        -469.3852    -472.9137       3.5285   496.3
0.4350        -469.1554    -473.4138       4.2584   599.0
0.4500        -468.8759    -473.7400       4.8641   684.2
0.4650        -468.6001    -473.2722       4.6721   657.2
0.4800        -468.3383    -472.9244       4.5861   645.1
0.4950        -468.0784    -472.7456       4.6672   656.5
0.5100        -467.8142    -472.5621       4.7479   667.8
0.5250        -467.5377    -472.6552       5.1175   719.8
0.5400        -467.2763    -471.7339       4.4576   627.0
0.5550        -467.0119    -471.8855       4.8736   685.5
0.5700        -466.7579    -471.1443       4.3864   617.0
0.5850        -466.4899    -471.7677       5.2778   742.4
0.6000        -466.1673    -472.4097       6.2424   878.1
0.6150        -465.8549    -471.8855       6.0306   848.3
0.6300        -465.5543    -471.4528       5.8984   829.7
0.6450        -465.2725    -471.3632       6.0908   856.7
0.6600        -464.9750    -471.6983       6.7233   945.7
0.6750        -464.6772    -470.8719       6.1948   871.4
0.6900        -464.4258    -470.4753       6.0495   850.9
0.7050        -464.1479    -470.4057       6.2578   880.2
0.7200        -463.8885    -469.7414       5.8529   823.3
0.7350        -463.6236    -470.4795       6.8558   964.3
0.7500        -463.3250    -470.4441       7.1192  1001.4
0.7650        -463.0350    -471.3046       8.2696  1163.2
0.7800        -462.7680    -469.7685       7.0004   984.7
0.7950        -462.5513    -469.0046       6.4533   907.7
0.8100        -462.3233    -470.1578       7.8345  1102.0
0.8250        -462.0891    -469.2162       7.1270  1002.5
0.8400        -461.8864    -469.6055       7.7191  1085.8
0.8550        -461.6849    -468.7457       7.0608   993.2
0.8700        -461.4988    -469.3318       7.8330  1101.8
0.8850        -461.3174    -468.8179       7.5006  1055.0
0.9000        -461.1478    -470.0085       8.8607  1246.3
0.9150        -460.9949    -468.7852       7.7903  1095.8
0.9300        -460.8861    -468.9178       8.0317  1129.7
0.9450        -460.7849    -469.4894       8.7045  1224.4
0.9600        -460.7141    -468.5453       7.8312  1101.5
0.9750        -460.6766    -469.5816       8.9051  1252.6
0.9900        -460.6694    -468.8096       8.1402  1145.0
1.0050        -460.6903    -468.7149       8.0246  1128.8
1.0200        -460.7226    -467.7186       6.9960   984.1
1.0350        -460.7577    -468.0012       7.2435  1018.9
1.0500        -460.8040    -469.3645       8.5604  1204.1
1.0650        -460.8836    -468.9297       8.0461  1131.8
1.0800        -460.9780    -469.1903       8.2123  1155.1
1.0950        -461.1062    -469.4391       8.3329  1172.1
1.1100        -461.2528    -469.3134       8.0607  1133.8
1.1250        -461.4422    -470.7519       9.3097  1309.5
1.1400        -461.6914    -469.8602       8.1689  1149.0
1.1550        -461.8813    -467.9611       6.0799   855.2
1.1700        -462.0716    -469.5843       7.5127  1056.7
1.1850        -462.2506    -468.8766       6.6260   932.0
1.2000        -462.4281    -469.8356       7.4075  1041.9
1.2150        -462.6031    -469.1903       6.5872   926.6
1.2300        -462.7480    -469.6573       6.9093   971.9
1.2450        -462.9176    -470.3984       7.4809  1052.3
1.2600        -463.0675    -469.7155       6.6480   935.1
1.2750        -463.2210    -470.9106       7.6896  1081.6
1.2900        -463.3855    -470.3016       6.9162   972.8
1.3050        -463.5277    -470.7685       7.2409  1018.5
1.3200        -463.6898    -470.9231       7.2333  1017.4
1.3350        -463.8261    -469.9080       6.0818   855.5
1.3500        -463.9448    -470.6778       6.7329   947.1
1.3650        -464.0494    -469.7313       5.6819   799.2
1.3800        -464.1264    -470.3034       6.1771   868.9
1.3950        -464.1871    -470.5110       6.3239   889.5
1.4100        -464.2422    -471.1902       6.9481   977.3
1.4250        -464.3000    -471.5945       7.2945  1026.0
1.4400        -464.3439    -470.2155       5.8715   825.9
1.4550        -464.3839    -471.3996       7.0157   986.8
1.4700        -464.4078    -470.2730       5.8653   825.0
1.4850        -464.4124    -469.7742       5.3618   754.2
1.5000        -464.3925    -470.2489       5.8564   823.8
1.5150        -464.3476    -470.6311       6.2835   883.8
1.5300        -464.2843    -471.2654       6.9811   982.0
1.5450        -464.2107    -470.2891       6.0784   855.0
1.5600        -464.1268    -471.4725       7.3457  1033.2
1.5750        -464.0275    -470.8563       6.8288   960.5
1.5900        -463.9386    -469.9603       6.0216   847.0
1.6050        -463.8296    -470.9916       7.1619  1007.4
1.6200        -463.7096    -470.3996       6.6900   941.0
1.6350        -463.5828    -470.9242       7.3414  1032.6
1.6500        -463.4533    -470.2890       6.8358   961.5
1.6650        -463.3376    -469.3906       6.0530   851.4
1.6800        -463.2039    -470.0422       6.8382   961.9
1.6950        -463.0537    -470.3784       7.3247  1030.3
1.7100        -462.9010    -469.8462       6.9451   976.9
1.7250        -462.7555    -469.7164       6.9609   979.1
1.7400        -462.6055    -470.2426       7.6371  1074.2
1.7550        -462.4626    -469.7529       7.2903  1025.5
1.7700        -462.3312    -469.4126       7.0814   996.1
1.7850        -462.2065    -470.0961       7.8896  1109.8
1.8000        -462.0789    -469.0611       6.9822   982.1
1.8150        -461.9805    -468.3618       6.3812   897.6
1.8300        -461.8627    -468.6851       6.8224   959.6
1.8450        -461.7356    -468.6831       6.9475   977.2
1.8600        -461.6027    -469.7790       8.1763  1150.1
1.8750        -461.4768    -468.6634       7.1866  1010.9
1.8900        -461.3682    -470.0524       8.6841  1221.5
1.9050        -461.2687    -470.0256       8.7570  1231.8
1.9200        -461.2168    -468.3817       7.1649  1007.8
1.9350        -461.1749    -468.1587       6.9838   982.4
1.9500        -461.1312    -468.7948       7.6636  1078.0
1.9650        -461.0977    -468.7233       7.6255  1072.6
1.9800        -461.0684    -467.5074       6.4390   905.7
1.9950        -461.0365    -469.0957       8.0592  1133.6
2.0100        -461.0116    -469.1702       8.1586  1147.6
2.0250        -461.0140    -469.0950       8.0810  1136.7
2.0400        -461.0327    -468.8332       7.8005  1097.2
2.0550        -461.0803    -469.8938       8.8135  1239.7
2.0700        -461.1758    -470.1501       8.9743  1262.3
2.0850        -461.2914    -468.0569       6.7655   951.6
2.1000        -461.4177    -469.6492       8.2315  1157.9
2.1150        -461.5702    -469.0779       7.5077  1056.0
2.1300        -461.7146    -468.6228       6.9082   971.7
2.1450        -461.8735    -469.7470       7.8734  1107.5
2.1600        -462.0376    -468.8020       6.7644   951.5
2.1750        -462.2020    -470.2165       8.0145  1127.3
2.1900        -462.3892    -469.4129       7.0237   988.0
2.2050        -462.5477    -469.6257       7.0780   995.6
2.2200        -462.7180    -470.7814       8.0634  1134.2
2.2350        -462.8973    -469.7820       6.8847   968.4
2.2500        -463.0435    -469.9960       6.9525   977.9
