Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -463.0435    -469.9960       6.9525   977.9
0.0150        -463.0456    -470.3124       7.2668  1022.2
0.0300        -463.0513    -469.8868       6.8355   961.5
0.0450        -463.0503    -469.3437       6.2934   885.2
0.0600        -463.0366    -469.1770       6.1404   863.7
0.0750        -463.0115    -469.6777       6.6662   937.7
0.0900        -462.9723    -469.6215       6.6492   935.3
0.1050        -462.9279    -470.9190       7.9911  1124.0
0.1200        -462.8932    -470.3432       7.4500  1047.9
0.1350        -462.8756    -470.2835       7.4079  1042.0
0.1500        -462.8673    -470.2008       7.3335  1031.5
0.1650        -462.8722    -469.7308       6.8586   964.7
0.1800        -462.8740    -468.5746       5.7007   801.9
0.1950        -462.8669    -469.5042       6.6373   933.6
0.2100        -462.8516    -470.0387       7.1872  1011.0
0.2250        -462.8379    -469.4760       6.6381   933.7
0.2400        -462.8355    -470.5975       7.7621  1091.8
0.2550        -462.8504    -470.1232       7.2728  1023.0
0.2700        -462.8881    -469.8966       7.0086   985.8
0.2850        -462.9484    -470.2235       7.2751  1023.3
0.3000        -463.0438    -470.5636       7.5198  1057.7
0.3150        -463.1690    -470.0358       6.8668   965.9
0.3300        -463.3207    -470.2240       6.9033   971.0
0.3450        -463.5099    -470.6829       7.1730  1009.0
0.3600        -463.7150    -470.2994       6.5844   926.2
0.3750        -463.9306    -470.2207       6.2900   884.8
0.3900        -464.1240    -470.1583       6.0343   848.8
0.4050        -464.3151    -470.4231       6.1080   859.2
0.4200        -464.4943    -470.7036       6.2094   873.4
0.4350        -464.6613    -470.8719       6.2106   873.6
0.4500        -464.8209    -471.1612       6.3403   891.8
0.4650        -464.9856    -472.2243       7.2387  1018.2
0.4800        -465.1577    -471.6245       6.4669   909.6
0.4950        -465.3031    -470.8777       5.5746   784.1
0.5100        -465.4222    -471.2217       5.7994   815.8
0.5250        -465.5249    -471.0567       5.5317   778.1
0.5400        -465.6111    -471.1602       5.5490   780.5
0.5550        -465.6830    -470.8853       5.2023   731.8
0.5700        -465.7366    -471.3032       5.5667   783.0
0.5850        -465.7988    -472.4507       6.6519   935.7
0.6000        -465.8576    -471.2828       5.4252   763.1
0.6150        -465.9213    -472.3653       6.4440   906.4
0.6300        -465.9958    -471.7385       5.7426   807.8
0.6450        -466.0499    -470.9402       4.8903   687.9
0.6600        -466.1046    -471.7472       5.6426   793.7
0.6750        -466.1466    -471.0661       4.9195   692.0
0.6900        -466.1853    -471.6739       5.4886   772.0
0.7050        -466.2129    -471.1365       4.9236   692.6
0.7200        -466.2368    -471.9657       5.7289   805.8
0.7350        -466.2661    -471.8379       5.5718   783.7
0.7500        -466.2900    -471.5509       5.2609   740.0
0.7650        -466.3266    -472.6164       6.2898   884.7
0.7800        -466.3688    -471.3709       5.0020   703.6
0.7950        -466.4088    -471.6661       5.2573   739.5
0.8100        -466.4497    -471.5214       5.0718   713.4
0.8250        -466.4879    -471.7748       5.2870   743.7
0.8400        -466.5381    -472.2832       5.7452   808.1
0.8550        -466.5861    -470.9995       4.4134   620.8
0.8700        -466.6395    -472.1858       5.5462   780.1
