Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -470.6007    -472.9754       2.3748   340.2
0.0150        -470.5953    -471.5000       0.9046   129.6
0.0300        -470.5900    -471.7532       1.1631   166.6
0.0450        -470.5647    -471.5888       1.0241   146.7
0.0600        -470.5391    -471.5612       1.0221   146.4
0.0750        -470.4910    -471.6606       1.1696   167.6
0.0900        -470.4505    -471.3113       0.8607   123.3
0.1050        -470.3822    -472.3236       1.9414   278.1
0.1200        -470.3123    -471.4380       1.1258   161.3
0.1350        -470.2671    -471.9583       1.6912   242.3
0.1500        -470.2118    -471.5319       1.3202   189.1
0.1650        -470.1800    -471.3638       1.1839   169.6
0.1800        -470.1342    -471.7889       1.6547   237.1
0.1950        -470.0944    -471.0847       0.9902   141.9
0.2100        -470.0497    -472.0388       1.9891   285.0
0.2250        -469.9935    -471.0968       1.1033   158.1
0.2400        -469.9604    -471.1900       1.2296   176.2
0.2550        -469.9016    -471.4361       1.5345   219.8
0.2700        -469.8433    -471.4551       1.6117   230.9
0.2850        -469.7684    -471.8797       2.1114   302.5
0.3000        -469.7049    -471.1845       1.4796   212.0
0.3150        -469.6453    -471.7714       2.1261   304.6
0.3300        -469.5795    -471.1027       1.5231   218.2
0.3450        -469.5353    -471.0162       1.4809   212.2
0.3600        -469.4781    -470.7541       1.2759   182.8
0.3750        -469.4404    -470.3769       0.9366   134.2
0.3900        -469.3635    -471.9989       2.6354   377.6
0.4050        -469.2670    -471.4383       2.1713   311.1
0.4200        -469.2067    -471.2701       2.0634   295.6
0.4350        -469.1450    -471.2894       2.1445   307.2
0.4500        -469.0936    -471.0792       1.9856   284.5
0.4650        -469.0467    -470.6330       1.5863   227.3
0.4800        -469.0088    -470.2966       1.2878   184.5
0.4950        -468.9512    -471.3173       2.3661   339.0
0.5100        -468.8826    -470.6681       1.7856   255.8
0.5250        -468.8324    -470.9068       2.0744   297.2
0.5400        -468.7626    -471.4004       2.6378   377.9
0.5550        -468.7096    -470.7067       1.9971   286.1
0.5700        -468.6676    -470.7868       2.1192   303.6
0.5850        -468.6240    -470.5229       1.8989   272.0
0.6000        -468.5807    -471.3974       2.8167   403.5
0.6150        -468.5377    -471.0104       2.4727   354.3
0.6300        -468.5161    -469.9900       1.4738   211.2
0.6450        -468.4910    -470.4500       1.9590   280.7
0.6600        -468.4558    -470.4847       2.0290   290.7
0.6750        -468.4189    -470.8337       2.4148   346.0
0.6900        -468.3833    -470.3365       1.9532   279.8
0.7050        -468.3515    -471.3546       3.0031   430.2
0.7200        -468.3283    -471.3547       3.0264   433.6
0.7350        -468.3288    -470.5255       2.1967   314.7
0.7500        -468.3384    -470.7098       2.3714   339.7
0.7650        -468.3454    -469.7915       1.4461   207.2
0.7800        -468.3460    -470.0675       1.7215   246.6
0.7950        -468.3387    -470.6272       2.2885   327.9
0.8100        -468.3334    -470.9123       2.5788   369.5
0.8250        -468.3393    -471.0001       2.6608   381.2
0.8400        -468.3600    -470.9773       2.6173   375.0
0.8550        -468.3936    -470.8289       2.4353   348.9
0.8700        -468.4294    -470.5064       2.0771   297.6
0.8850        -468.4683    -470.7529       2.2846   327.3
0.9000        -468.5090    -470.4430       1.9340   277.1
0.9150        -468.5392    -470.2482       1.7090   244.8
0.9300        -468.5726    -471.0814       2.5088   359.4
0.9450        -468.6201    -471.0401       2.4201   346.7
0.9600        -468.6614    -470.3887       1.7273   247.5
0.9750        -468.6967    -470.7054       2.0087   287.8
0.9900        -468.7323    -470.9805       2.2481   322.1
1.0050        -468.7818    -471.5052       2.7234   390.2
1.0200        -468.8400    -470.9817       2.1417   306.8
1.0350        -468.8851    -470.7351       1.8500   265.0
1.0500        -468.9289    -470.9765       2.0477   293.4
1.0650        -468.9627    -470.5535       1.5907   227.9
1.0800        -468.9846    -470.4621       1.4775   211.7
1.0950        -468.9968    -470.8059       1.8091   259.2
1.1100        -469.0111    -471.5535       2.5424   364.2
1.1250        -469.0298    -471.1402       2.1104   302.4
1.1400        -469.0502    -471.3923       2.3421   335.5
1.1550        -469.0816    -471.5688       2.4872   356.3
1.1700        -469.1049    -470.3479       1.2430   178.1
1.1850        -469.1150    -470.5373       1.4223   203.8
1.2000        -469.1159    -470.8975       1.7816   255.2
