Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -469.1159    -470.8975       1.7816   255.2
0.0150        -469.1021    -471.2321       2.1300   305.2
0.0300        -469.0570    -470.8756       1.8187   260.6
0.0450        -468.9917    -471.0937       2.1020   301.1
0.0600        -468.8764    -471.3855       2.5091   359.5
0.0750        -468.7523    -470.8805       2.1282   304.9
0.0900        -468.6352    -470.8262       2.1910   313.9
0.1050        -468.5324    -470.3049       1.7725   253.9
0.1200        -468.4410    -470.9204       2.4794   355.2
0.1350        -468.3244    -470.7841       2.4597   352.4
0.1500        -468.2328    -470.1806       1.9478   279.1
0.1650        -468.1317    -470.4633       2.3316   334.0
0.1800        -468.0231    -469.9737       1.9506   279.4
0.1950        -467.9010    -470.6217       2.7207   389.8
0.2100        -467.7362    -470.6992       2.9631   424.5
0.2250        -467.5610    -470.8530       3.2920   471.6
0.2400        -467.3765    -470.3695       2.9930   428.8
0.2550        -467.2155    -470.0403       2.8248   404.7
0.2700        -467.0440    -469.8450       2.8010   401.3
0.2850        -466.9018    -468.9090       2.0072   287.6
0.3000        -466.7662    -469.3875       2.6213   375.5
0.3150        -466.5796    -469.5037       2.9241   418.9
0.3300        -466.3970    -469.8165       3.4195   489.9
0.3450        -466.1257    -471.3406       5.2149   747.1
0.3600        -465.8614    -469.5695       3.7081   531.2
0.3750        -465.6718    -468.9937       3.3219   475.9
0.3900        -465.4732    -468.7405       3.2673   468.1
0.4050        -465.2723    -468.9389       3.6666   525.3
0.4200        -465.0396    -468.6044       3.5648   510.7
0.4350        -464.8520    -467.8108       2.9588   423.9
0.4500        -464.5987    -469.7339       5.1353   735.7
0.4650        -464.3158    -468.2098       3.8940   557.9
0.4800        -464.0712    -469.1965       5.1254   734.3
0.4950        -463.7697    -468.4370       4.6674   668.7
0.5100        -463.5423    -467.7866       4.2442   608.1
0.5250        -463.2518    -468.9062       5.6544   810.1
0.5400        -462.9810    -467.3553       4.3743   626.7
