Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -459.1278    -467.2787       8.1508  1167.7
0.0150        -459.1483    -467.7115       8.5632  1226.8
0.0300        -459.1845    -465.2669       6.0824   871.4
0.0450        -459.2125    -466.0167       6.8041   974.8
0.0600        -459.2535    -467.3445       8.0909  1159.2
0.0750        -459.2982    -464.8116       5.5134   789.9
0.0900        -459.3224    -464.5212       5.1989   744.8
0.1050        -459.3236    -465.1181       5.7945   830.2
0.1200        -459.3098    -466.5648       7.2550  1039.4
0.1350        -459.2965    -466.6273       7.3308  1050.3
0.1500        -459.2960    -465.9563       6.6603   954.2
0.1650        -459.3006    -466.4274       7.1268  1021.0
0.1800        -459.3151    -466.2093       6.8942   987.7
0.1950        -459.3368    -465.9942       6.6573   953.8
0.2100        -459.3686    -466.1405       6.7719   970.2
0.2250        -459.4116    -466.4411       7.0295  1007.1
0.2400        -459.4750    -466.0041       6.5292   935.4
0.2550        -459.5363    -464.5858       5.0495   723.4
0.2700        -459.5886    -465.2649       5.6762   813.2
0.2850        -459.6514    -466.8670       7.2156  1033.7
0.3000        -459.7411    -466.4462       6.7051   960.6
0.3150        -459.8483    -466.2546       6.4062   917.8
0.3300        -459.9784    -466.9231       6.9447   994.9
0.3450        -460.1578    -467.7524       7.5946  1088.0
0.3600        -460.3805    -467.1151       6.7346   964.8
0.3750        -460.5493    -464.7635       4.2142   603.7
0.3900        -460.6829    -465.9555       5.2725   755.4
0.4050        -460.8152    -466.2974       5.4822   785.4
0.4200        -460.9389    -466.7308       5.7919   829.8
0.4350        -461.0672    -467.1785       6.1114   875.6
0.4500        -461.1874    -467.4579       6.2705   898.3
0.4650        -461.3242    -468.0044       6.6802   957.0
0.4800        -461.4593    -467.3083       5.8490   838.0
0.4950        -461.5731    -467.1259       5.5528   795.5
0.5100        -461.6772    -466.9254       5.2483   751.9
0.5250        -461.7553    -466.7769       5.0216   719.4
0.5400        -461.8138    -466.6306       4.8169   690.1
0.5550        -461.8585    -467.1557       5.2972   758.9
0.5700        -461.8977    -468.0098       6.1121   875.7
0.5850        -461.9402    -467.2363       5.2961   758.8
0.6000        -461.9718    -467.1180       5.1462   737.3
0.6150        -461.9918    -467.5216       5.5297   792.2
0.6300        -462.0190    -468.4410       6.4220   920.1
0.6450        -462.0587    -467.7450       5.6863   814.7
0.6600        -462.0916    -466.7418       4.6502   666.2
0.6750        -462.1174    -467.4177       5.3003   759.3
0.6900        -462.1356    -467.4427       5.3071   760.3
0.7050        -462.1489    -466.7785       4.6297   663.3
0.7200        -462.1512    -466.6725       4.5213   647.7
0.7350        -462.1380    -467.7743       5.6363   807.5
