Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -471.0007    -473.1232       2.1225   304.1
0.0150        -470.9946    -471.7815       0.7868   112.7
0.0300        -470.9884    -471.9660       0.9776   140.1
0.0450        -470.9607    -472.0304       1.0697   153.2
0.0600        -470.9327    -471.7223       0.7896   113.1
0.0750        -470.8908    -471.9294       1.0385   148.8
0.0900        -470.8441    -471.8153       0.9712   139.1
0.1050        -470.7788    -472.4568       1.6780   240.4
0.1200        -470.7171    -471.7844       1.0673   152.9
0.1350        -470.6749    -472.1325       1.4576   208.8
0.1500        -470.6275    -471.7014       1.0739   153.9
0.1650        -470.5975    -471.6266       1.0291   147.4
0.1800        -470.5501    -472.1031       1.5530   222.5
0.1950        -470.5060    -471.4722       0.9663   138.4
0.2100        -470.4578    -472.2507       1.7928   256.9
0.2250        -470.3953    -471.6808       1.2855   184.2
0.2400        -470.3523    -471.5072       1.1549   165.5
0.2550        -470.3007    -471.4588       1.1581   165.9
0.2700        -470.2470    -471.6368       1.3898   199.1
0.2850        -470.1711    -471.9997       1.8286   262.0
0.3000        -470.1031    -471.4621       1.3591   194.7
0.3150        -470.0334    -472.2314       2.1980   314.9
0.3300        -469.9578    -471.3640       1.4062   201.5
0.3450        -469.9120    -471.3293       1.4173   203.0
0.3600        -469.8464    -471.3624       1.5160   217.2
0.3750        -469.8026    -470.4983       0.6957    99.7
0.3900        -469.7431    -471.8213       2.0782   297.7
0.4050        -469.6419    -471.8895       2.2476   322.0
0.4200        -469.5657    -471.5286       1.9629   281.2
0.4350        -469.5003    -471.3923       1.8920   271.1
0.4500        -469.4379    -471.4781       2.0402   292.3
0.4650        -469.3789    -470.8849       1.5060   215.8
0.4800        -469.3378    -470.5870       1.2492   179.0
0.4950        -469.2706    -471.5040       2.2334   320.0
0.5100        -469.1952    -470.9837       1.7885   256.2
0.5250        -469.1305    -471.4104       2.2799   326.6
0.5400        -469.0569    -471.2735       2.2165   317.6
0.5550        -469.0011    -470.9462       1.9451   278.7
0.5700        -468.9472    -470.9462       1.9990   286.4
0.5850        -468.8961    -470.6663       1.7702   253.6
0.6000        -468.8407    -471.2440       2.4033   344.3
0.6150        -468.7794    -471.2269       2.4476   350.7
0.6300        -468.7313    -471.1398       2.4085   345.1
0.6450        -468.6937    -470.4885       1.7948   257.1
0.6600        -468.6619    -470.5514       1.8895   270.7
0.6750        -468.6179    -470.9916       2.3736   340.1
0.6900        -468.5793    -470.1833       1.6040   229.8
0.7050        -468.5398    -471.2056       2.6659   381.9
0.7200        -468.4918    -471.3804       2.8887   413.8
0.7350        -468.4683    -471.0599       2.5916   371.3
0.7500        -468.4582    -470.8833       2.4251   347.4
0.7650        -468.4566    -470.5619       2.1053   301.6
0.7800        -468.4543    -470.0554       1.6011   229.4
0.7950        -468.4459    -470.3250       1.8792   269.2
0.8100        -468.4330    -471.2668       2.8338   406.0
0.8250        -468.4258    -470.5439       2.1181   303.5
0.8400        -468.4320    -471.5162       3.0842   441.9
0.8550        -468.4559    -470.9196       2.4636   353.0
0.8700        -468.4808    -470.4675       1.9867   284.6
0.8850        -468.5134    -470.9985       2.4850   356.0
0.9000        -468.5443    -470.3246       1.7803   255.1
0.9150        -468.5732    -470.7697       2.1965   314.7
0.9300        -468.6058    -470.8624       2.2567   323.3
0.9450        -468.6484    -471.3122       2.6639   381.6
0.9600        -468.7007    -470.7691       2.0684   296.3
0.9750        -468.7399    -470.6284       1.8885   270.6
0.9900        -468.7833    -470.9899       2.2066   316.1
1.0050        -468.8234    -470.8105       1.9871   284.7
1.0200        -468.8692    -471.4023       2.5331   362.9
1.0350        -468.9220    -471.0255       2.1035   301.4
1.0500        -468.9690    -471.1751       2.2061   316.1
1.0650        -469.0187    -471.0607       2.0420   292.6
1.0800        -469.0566    -470.7184       1.6618   238.1
1.0950        -469.0856    -470.8471       1.7615   252.4
1.1100        -469.1082    -470.9325       1.8242   261.4
1.1250        -469.1309    -471.3744       2.2434   321.4
1.1400        -469.1540    -471.2768       2.1228   304.1
1.1550        -469.1820    -471.6380       2.4560   351.9
1.1700        -469.2167    -471.2856       2.0688   296.4
1.1850        -469.2375    -470.5927       1.3552   194.2
1.2000        -469.2530    -471.1990       1.9461   278.8
