Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -469.2530    -471.1990       1.9461   278.8
0.0150        -469.2381    -470.9415       1.7034   244.0
0.0300        -469.2001    -471.1148       1.9147   274.3
0.0450        -469.1236    -471.2249       2.1013   301.0
0.0600        -469.0230    -471.1751       2.1521   308.3
0.0750        -468.8979    -471.3068       2.4088   345.1
0.0900        -468.7686    -471.0049       2.2363   320.4
0.1050        -468.6660    -470.5823       1.9163   274.5
0.1200        -468.5757    -470.6613       2.0856   298.8
0.1350        -468.4748    -470.9216       2.4468   350.5
0.1500        -468.3669    -470.7840       2.4171   346.3
0.1650        -468.2556    -470.6272       2.3717   339.8
0.1800        -468.1355    -470.6226       2.4871   356.3
0.1950        -468.0033    -470.4196       2.4164   346.2
0.2100        -467.8700    -470.3072       2.4373   349.2
0.2250        -467.7166    -470.5520       2.8353   406.2
0.2400        -467.5463    -470.4493       2.9030   415.9
0.2550        -467.3701    -470.4500       3.0800   441.3
0.2700        -467.1879    -470.2631       3.0752   440.6
0.2850        -467.0084    -470.1051       3.0967   443.7
0.3000        -466.8263    -469.6932       2.8668   410.7
0.3150        -466.6606    -469.3522       2.6916   385.6
0.3300        -466.4972    -469.1139       2.6167   374.9
0.3450        -466.3001    -470.2075       3.9074   559.8
0.3600        -466.0433    -470.2822       4.2389   607.3
0.3750        -465.8065    -469.5526       3.7461   536.7
0.3900        -465.5897    -469.4040       3.8143   546.5
0.4050        -465.3540    -469.4790       4.1250   591.0
0.4200        -465.1281    -468.5535       3.4255   490.8
0.4350        -464.9335    -468.3013       3.3677   482.5
0.4500        -464.7006    -468.8856       4.1849   599.6
0.4650        -464.4517    -468.3025       3.8508   551.7
0.4800        -464.1963    -469.2850       5.0888   729.0
0.4950        -463.8890    -468.9530       5.0641   725.5
0.5100        -463.6317    -468.1234       4.4917   643.5
0.5250        -463.3610    -468.6496       5.2885   757.7
0.5400        -463.0943    -467.4002       4.3060   616.9
0.5550        -462.8444    -467.9495       5.1051   731.4
0.5700        -462.5529    -467.9325       5.3796   770.7
0.5850        -462.2702    -467.6674       5.3973   773.2
0.6000        -461.9923    -466.9357       4.9434   708.2
0.6150        -461.7381    -466.9313       5.1931   744.0
0.6300        -461.4263    -468.0085       6.5822   943.0
0.6450        -461.1431    -465.9099       4.7669   682.9
0.6600        -460.8813    -467.5507       6.6694   955.5
0.6750        -460.5485    -466.9662       6.4178   919.4
0.6900        -460.2853    -466.7094       6.4241   920.4
0.7050        -459.9654    -467.9915       8.0260  1149.9
0.7200        -459.7106    -465.1136       5.4030   774.1
0.7350        -459.4922    -465.4832       5.9909   858.3
0.7500        -459.2467    -465.3874       6.1408   879.8
0.7650        -458.9916    -465.6891       6.6974   959.5
0.7800        -458.7194    -465.7884       7.0690  1012.8
0.7950        -458.4701    -465.7401       7.2700  1041.5
0.8100        -458.1879    -467.4083       9.2204  1321.0
0.8250        -457.9627    -464.6375       6.6748   956.3
0.8400        -457.7845    -465.9861       8.2015  1175.0
0.8550        -457.5917    -465.6336       8.0420  1152.1
0.8700        -457.4604    -462.7604       5.3001   759.3
0.8850        -457.3197    -465.0164       7.6968  1102.7
0.9000        -457.1543    -464.1223       6.9679   998.3
0.9150        -457.0083    -465.7321       8.7238  1249.8
0.9300        -456.8574    -465.5212       8.6638  1241.2
0.9450        -456.7672    -464.3953       7.6281  1092.9
0.9600        -456.6980    -464.5987       7.9007  1131.9
0.9750        -456.6450    -465.1243       8.4792  1214.8
0.9900        -456.6304    -465.2894       8.6590  1240.5
1.0050        -456.6403    -463.4987       6.8584   982.6
1.0200        -456.6623    -464.4771       7.8148  1119.6
1.0350        -456.7071    -465.4945       8.7875  1258.9
1.0500        -456.7804    -463.8754       7.0950  1016.5
1.0650        -456.8605    -464.6494       7.7889  1115.9
1.0800        -456.9722    -465.3938       8.4216  1206.5
1.0950        -457.0827    -463.0741       5.9914   858.4
1.1100        -457.1949    -465.7472       8.5523  1225.3
1.1250        -457.3603    -465.8997       8.5395  1223.4
1.1400        -457.5517    -465.8236       8.2719  1185.1
1.1550        -457.7775    -465.6142       7.8366  1122.7
1.1700        -457.9649    -464.3349       6.3700   912.6
1.1850        -458.1557    -465.4872       7.3315  1050.3
1.2000        -458.3279    -464.3300       6.0022   859.9
1.2150        -458.4899    -466.0919       7.6020  1089.1
1.2300        -458.6703    -465.2437       6.5735   941.8
1.2450        -458.8106    -465.8853       7.0747  1013.6
1.2600        -459.0172    -467.9558       8.9387  1280.6
1.2750        -459.2076    -465.3914       6.1838   885.9
1.2900        -459.3767    -466.6491       7.2723  1041.9
1.3050        -459.5430    -465.3165       5.7735   827.1
1.3200        -459.6619    -465.9965       6.3345   907.5
1.3350        -459.7878    -466.1255       6.3376   908.0
1.3500        -459.8891    -466.3447       6.4557   924.9
1.3650        -459.9970    -467.2290       7.2320  1036.1
1.3800        -460.0891    -465.9048       5.8156   833.2
1.3950        -460.1731    -467.0261       6.8530   981.8
1.4100        -460.2441    -466.1412       5.8971   844.9
1.4250        -460.2953    -466.6748       6.3795   914.0
1.4400        -460.3480    -467.0946       6.7466   966.6
1.4550        -460.3757    -465.5204       5.1447   737.1
1.4700        -460.3977    -467.5508       7.1531  1024.8
1.4850        -460.4065    -466.7834       6.3769   913.6
1.5000        -460.4067    -466.6618       6.2551   896.1
1.5150        -460.3959    -466.0530       5.6572   810.5
1.5300        -460.3638    -465.7185       5.3547   767.1
1.5450        -460.3033    -467.5979       7.2946  1045.1
1.5600        -460.2313    -466.2276       5.9963   859.1
1.5750        -460.1554    -467.1559       7.0005  1002.9
1.5900        -460.0626    -466.5571       6.4945   930.4
1.6050        -459.9730    -466.8519       6.8789   985.5
1.6200        -459.8689    -466.2692       6.4002   916.9
1.6350        -459.7691    -464.9467       5.1776   741.8
1.6500        -459.6485    -466.7557       7.1071  1018.2
1.6650        -459.4930    -465.8064       6.3134   904.5
1.6800        -459.3566    -465.5120       6.1554   881.9
1.6950        -459.1848    -467.3902       8.2054  1175.6
1.7100        -459.0118    -465.9889       6.9771   999.6
1.7250        -458.8742    -466.5974       7.7232  1106.5
1.7400        -458.7408    -464.5806       5.8399   836.7
1.7550        -458.6210    -465.4948       6.8738   984.8
1.7700        -458.4704    -465.9510       7.4806  1071.7
1.7850        -458.3300    -464.9317       6.6017   945.8
1.8000        -458.2022    -466.1930       7.9908  1144.8
1.8150        -458.0661    -464.9568       6.8907   987.2
1.8300        -457.9562    -466.5321       8.5759  1228.6
1.8450        -457.8517    -464.8330       6.9813  1000.2
1.8600        -457.7785    -464.0633       6.2847   900.4
1.8750        -457.6885    -466.3364       8.6479  1238.9
1.8900        -457.6061    -464.1753       6.5692   941.1
1.9050        -457.5480    -466.1693       8.6213  1235.1
1.9200        -457.4943    -465.0687       7.5745  1085.2
1.9350        -457.4710    -465.2105       7.7395  1108.8
1.9500        -457.4602    -465.5487       8.0885  1158.8
1.9650        -457.4638    -463.6374       6.1736   884.5
1.9800        -457.4674    -464.7781       7.3108  1047.4
1.9950        -457.4666    -465.1911       7.7245  1106.7
2.0100        -457.4827    -465.3193       7.8366  1122.7
2.0250        -457.5336    -466.0449       8.5114  1219.4
2.0400        -457.5922    -464.1943       6.6021   945.9
2.0550        -457.6864    -467.2205       9.5341  1365.9
2.0700        -457.8169    -464.5887       6.7718   970.2
2.0850        -457.9085    -463.2725       5.3640   768.5
2.1000        -458.0137    -466.0671       8.0534  1153.8
2.1150        -458.1292    -465.0250       6.8958   987.9
2.1300        -458.2594    -466.1461       7.8867  1129.9
2.1450        -458.4076    -465.7226       7.3150  1048.0
2.1600        -458.5674    -466.3440       7.7766  1114.1
2.1750        -458.7583    -466.2931       7.5348  1079.5
2.1900        -458.9099    -464.6373       5.7274   820.5
2.2050        -459.0467    -465.6852       6.6385   951.1
2.2200        -459.1742    -465.6713       6.4971   930.8
2.2350        -459.2887    -466.2149       6.9262   992.3
2.2500        -459.4210    -466.8753       7.4543  1067.9
