Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -459.4210    -466.8753       7.4543  1067.9
0.0150        -459.4149    -465.4609       6.0460   866.2
0.0300        -459.4054    -466.7423       7.3369  1051.1
0.0450        -459.3948    -466.0624       6.6677   955.3
0.0600        -459.3813    -465.4977       6.1165   876.3
0.0750        -459.3587    -466.2540       6.8952   987.8
0.0900        -459.3257    -465.4467       6.1210   876.9
0.1050        -459.2883    -467.2292       7.9410  1137.7
0.1200        -459.2555    -465.8585       6.6031   946.0
0.1350        -459.2303    -466.1302       6.8999   988.5
0.1500        -459.1997    -466.1706       6.9709   998.7
0.1650        -459.1737    -465.2705       6.0968   873.5
0.1800        -459.1358    -465.7670       6.6312   950.0
0.1950        -459.0868    -465.2121       6.1253   877.5
0.2100        -459.0270    -467.1177       8.0907  1159.1
0.2250        -458.9663    -466.3939       7.4277  1064.1
0.2400        -458.9258    -465.2193       6.2935   901.6
0.2550        -458.8903    -466.5529       7.6626  1097.8
0.2700        -458.8544    -465.3237       6.4693   926.8
0.2850        -458.8334    -465.6563       6.8229   977.5
0.3000        -458.8043    -464.8039       5.9996   859.5
0.3150        -458.7773    -466.3859       7.6086  1090.0
0.3300        -458.7661    -466.5738       7.8077  1118.6
0.3450        -458.7853    -465.4488       6.6635   954.7
0.3600        -458.8301    -466.0383       7.2082  1032.7
0.3750        -458.8899    -465.2789       6.3889   915.3
0.3900        -458.9738    -466.1311       7.1572  1025.4
0.4050        -459.0706    -465.0363       5.9658   854.7
0.4200        -459.1843    -466.2998       7.1156  1019.4
0.4350        -459.3522    -466.7889       7.4367  1065.4
0.4500        -459.5248    -465.7787       6.2539   896.0
0.4650        -459.7247    -466.6481       6.9235   991.9
0.4800        -459.9335    -466.3062       6.3727   913.0
0.4950        -460.1466    -466.6051       6.4585   925.3
0.5100        -460.3326    -465.5607       5.2281   749.0
0.5250        -460.4895    -466.8588       6.3692   912.5
0.5400        -460.6798    -467.3589       6.6791   956.9
0.5550        -460.8442    -466.8799       6.0358   864.7
0.5700        -461.0086    -467.2751       6.2665   897.8
0.5850        -461.1491    -466.6572       5.5081   789.1
0.6000        -461.2732    -467.1290       5.8558   838.9
0.6150        -461.3905    -466.8318       5.4414   779.6
0.6300        -461.4797    -466.7360       5.2563   753.1
0.6450        -461.5690    -467.4249       5.8559   838.9
0.6600        -461.6464    -467.2136       5.5672   797.6
0.6750        -461.7391    -467.9861       6.2470   895.0
0.6900        -461.8326    -467.3818       5.5492   795.0
0.7050        -461.9182    -467.4199       5.5016   788.2
0.7200        -462.0039    -467.3852       5.3813   771.0
0.7350        -462.0691    -466.6205       4.5514   652.1
0.7500        -462.1327    -467.8773       5.7446   823.0
0.7650        -462.2055    -468.0525       5.8470   837.7
0.7800        -462.2815    -467.6777       5.3962   773.1
0.7950        -462.3590    -467.6159       5.2569   753.1
0.8100        -462.4334    -467.6460       5.2126   746.8
0.8250        -462.5057    -467.6125       5.1068   731.6
0.8400        -462.5740    -467.4362       4.8622   696.6
0.8550        -462.6378    -467.8053       5.1674   740.3
0.8700        -462.6990    -467.5694       4.8705   697.8
0.8850        -462.7667    -468.3861       5.6195   805.1
0.9000        -462.8496    -468.4681       5.6185   804.9
0.9150        -462.9269    -467.1811       4.2542   609.5
0.9300        -462.9983    -468.3980       5.3996   773.6
0.9450        -463.0805    -467.7894       4.7088   674.6
0.9600        -463.1477    -467.6994       4.5517   652.1
0.9750        -463.2195    -468.2683       5.0488   723.3
0.9900        -463.2925    -468.1226       4.8301   692.0
1.0050        -463.3745    -468.6389       5.2644   754.2
1.0200        -463.4549    -467.7748       4.3200   618.9
1.0350        -463.5323    -468.5745       5.0422   722.4
1.0500        -463.6189    -468.2724       4.6535   666.7
1.0650        -463.6947    -467.9738       4.2791   613.1
1.0800        -463.7709    -468.3934       4.6225   662.2
1.0950        -463.8426    -468.3416       4.4990   644.5
1.1100        -463.9254    -469.0798       5.1544   738.4
1.1250        -464.0140    -468.2691       4.2551   609.6
1.1400        -464.0894    -468.5266       4.4372   635.7
1.1550        -464.1687    -468.4699       4.3013   616.2
1.1700        -464.2392    -468.4539       4.2147   603.8
1.1850        -464.3097    -468.6239       4.3143   618.1
1.2000        -464.3797    -468.8279       4.4482   637.3
1.2150        -464.4511    -469.0068       4.5557   652.7
1.2300        -464.5246    -468.7095       4.1848   599.5
1.2450        -464.5919    -468.7287       4.1368   592.7
1.2600        -464.6550    -468.6093       3.9543   566.5
1.2750        -464.7100    -468.7348       4.0248   576.6
1.2900        -464.7625    -468.8660       4.1035   587.9
1.3050        -464.8137    -468.9817       4.1681   597.1
1.3200        -464.8617    -469.1321       4.2705   611.8
1.3350        -464.9158    -469.2593       4.3435   622.3
1.3500        -464.9673    -468.8945       3.9273   562.6
1.3650        -465.0095    -468.8304       3.8210   547.4
1.3800        -465.0450    -468.8862       3.8412   550.3
1.3950        -465.0756    -469.1843       4.1087   588.6
1.4100        -465.1013    -468.9181       3.8168   546.8
1.4250        -465.1198    -468.8725       3.7528   537.6
1.4400        -465.1351    -469.4360       4.3009   616.2
1.4550        -465.1508    -469.2454       4.0947   586.6
1.4700        -465.1695    -469.1337       3.9643   567.9
1.4850        -465.1787    -468.5797       3.4010   487.3
1.5000        -465.1891    -469.4806       4.2915   614.8
1.5150        -465.2015    -469.0341       3.8326   549.1
1.5300        -465.2169    -469.0895       3.8725   554.8
1.5450        -465.2356    -469.1935       3.9580   567.0
1.5600        -465.2600    -469.1918       3.9318   563.3
1.5750        -465.2908    -469.1346       3.8439   550.7
1.5900        -465.3227    -468.8582       3.5355   506.5
1.6050        -465.3612    -469.4418       4.0806   584.6
1.6200        -465.4081    -469.1843       3.7762   541.0
1.6350        -465.4658    -469.3446       3.8788   555.7
1.6500        -465.5309    -469.3864       3.8555   552.4
1.6650        -465.6089    -469.4083       3.7994   544.3
1.6800        -465.6928    -469.2905       3.5977   515.4
1.6950        -465.7709    -468.9440       3.1731   454.6
1.7100        -465.8488    -469.3180       3.4692   497.0
1.7250        -465.9334    -469.6087       3.6754   526.6
1.7400        -466.0311    -469.7509       3.7199   532.9
1.7550        -466.1327    -469.8184       3.6858   528.0
1.7700        -466.2423    -469.7311       3.4888   499.8
1.7850        -466.3441    -469.6633       3.3192   475.5
1.8000        -466.4414    -469.6989       3.2575   466.7
1.8150        -466.5309    -469.4996       2.9687   425.3
1.8300        -466.6042    -469.5568       2.9526   423.0
1.8450        -466.6787    -469.9545       3.2758   469.3
1.8600        -466.7593    -470.2525       3.4932   500.5
1.8750        -466.8449    -470.1236       3.2786   469.7
1.8900        -466.9240    -469.8114       2.8874   413.7
1.9050        -466.9974    -470.1539       3.1565   452.2
1.9200        -467.0705    -469.8465       2.7760   397.7
1.9350        -467.1354    -470.1140       2.9786   426.7
1.9500        -467.2073    -470.3201       3.1128   446.0
1.9650        -467.2728    -469.9983       2.7255   390.5
1.9800        -467.3427    -470.4528       3.1101   445.6
1.9950        -467.4056    -469.8702       2.4646   353.1
2.0100        -467.4695    -470.5284       3.0590   438.2
2.0250        -467.5327    -469.9964       2.4638   353.0
2.0400        -467.5871    -470.3158       2.7287   390.9
2.0550        -467.6529    -470.6568       3.0039   430.4
2.0700        -467.7173    -470.3869       2.6696   382.5
2.0850        -467.7951    -470.9414       3.1463   450.8
2.1000        -467.8619    -469.8749       2.0130   288.4
2.1150        -467.9200    -470.5721       2.6521   380.0
2.1300        -467.9771    -470.1893       2.2122   316.9
2.1450        -468.0272    -470.5682       2.5410   364.0
2.1600        -468.0880    -470.7840       2.6961   386.3
2.1750        -468.1456    -470.6595       2.5139   360.2
2.1900        -468.2179    -471.0794       2.8614   409.9
2.2050        -468.2848    -470.4596       2.1748   311.6
2.2200        -468.3481    -470.8010       2.4530   351.4
2.2350        -468.4059    -470.3115       1.9056   273.0
2.2500        -468.4506    -470.6403       2.1897   313.7
