Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -458.5393    -460.5356       1.9963   291.4
0.0150        -458.5339    -459.3935       0.8597   125.5
0.0300        -458.5273    -459.3729       0.8456   123.4
0.0450        -458.5032    -459.4541       0.9509   138.8
0.0600        -458.4747    -459.2824       0.8077   117.9
0.0750        -458.4326    -459.4166       0.9840   143.6
0.0900        -458.3888    -459.2373       0.8485   123.9
0.1050        -458.3292    -459.8908       1.5616   227.9
0.1200        -458.2683    -459.2718       1.0035   146.5
0.1350        -458.2319    -459.4055       1.1735   171.3
0.1500        -458.1847    -459.4588       1.2741   186.0
0.1650        -458.1499    -459.0217       0.8718   127.2
0.1800        -458.1107    -459.4806       1.3699   200.0
0.1950        -458.0617    -459.2107       1.1490   167.7
0.2100        -458.0131    -459.5925       1.5794   230.5
0.2250        -457.9506    -459.3731       1.4225   207.6
0.2400        -457.9057    -458.8759       0.9703   141.6
0.2550        -457.8583    -459.0637       1.2054   176.0
0.2700        -457.8023    -459.0046       1.2022   175.5
0.2850        -457.7384    -459.2248       1.4865   217.0
0.3000        -457.6686    -459.1605       1.4920   217.8
0.3150        -457.5990    -459.2815       1.6824   245.6
0.3300        -457.5265    -459.1817       1.6553   241.6
0.3450        -457.4658    -458.8310       1.3652   199.3
0.3600        -457.4076    -458.8125       1.4049   205.1
0.3750        -457.3509    -458.5508       1.2000   175.2
0.3900        -457.2878    -458.9989       1.7111   249.8
0.4050        -457.2018    -459.3339       2.1322   311.2
0.4200        -457.1249    -458.8909       1.7661   257.8
0.4350        -457.0641    -458.6858       1.6216   236.7
0.4500        -457.0000    -458.8346       1.8346   267.8
0.4650        -456.9360    -458.4988       1.5629   228.1
0.4800        -456.8818    -458.2580       1.3762   200.9
0.4950        -456.8164    -458.7524       1.9360   282.6
0.5100        -456.7377    -458.7533       2.0156   294.2
0.5250        -456.6672    -458.6388       1.9716   287.8
0.5400        -456.5992    -458.7964       2.1971   320.7
0.5550        -456.5316    -458.7592       2.2276   325.2
0.5700        -456.4798    -458.0473       1.5675   228.8
0.5850        -456.4319    -458.3185       1.8866   275.4
0.6000        -456.3713    -458.5814       2.2101   322.6
0.6150        -456.3093    -458.7159       2.4066   351.3
0.6300        -456.2572    -458.3344       2.0772   303.2
0.6450        -456.2158    -458.1099       1.8941   276.5
0.6600        -456.1717    -458.1884       2.0167   294.4
0.6750        -456.1274    -458.1519       2.0245   295.5
0.6900        -456.0820    -458.2213       2.1393   312.3
0.7050        -456.0364    -458.2934       2.2570   329.4
0.7200        -455.9935    -458.7397       2.7462   400.9
0.7350        -455.9608    -458.3606       2.3998   350.3
0.7500        -455.9433    -458.3781       2.4348   355.4
0.7650        -455.9329    -458.2418       2.3089   337.0
0.7800        -455.9269    -457.6412       1.7143   250.2
0.7950        -455.9196    -457.9615       2.0419   298.1
0.8100        -455.9076    -458.1434       2.2359   326.4
0.8250        -455.9005    -458.4307       2.5302   369.3
0.8400        -455.9008    -458.1477       2.2469   328.0
0.8550        -455.9090    -458.4113       2.5023   365.3
0.8700        -455.9279    -458.3982       2.4703   360.6
0.8850        -455.9508    -457.9790       2.0282   296.1
0.9000        -455.9795    -458.3462       2.3667   345.5
0.9150        -456.0072    -457.8362       1.8290   267.0
0.9300        -456.0347    -458.2343       2.1996   321.1
0.9450        -456.0686    -458.4683       2.3997   350.3
0.9600        -456.1096    -458.3051       2.1955   320.5
0.9750        -456.1517    -458.3461       2.1943   320.3
0.9900        -456.1974    -458.3970       2.1996   321.1
1.0050        -456.2490    -458.5711       2.3221   339.0
1.0200        -456.3009    -458.3371       2.0362   297.2
1.0350        -456.3471    -458.2118       1.8647   272.2
1.0500        -456.3854    -458.2224       1.8370   268.1
1.0650        -456.4226    -458.4790       2.0564   300.2
1.0800        -456.4611    -458.6823       2.2212   324.2
1.0950        -456.5025    -458.4779       1.9754   288.3
1.1100        -456.5337    -458.3406       1.8070   263.8
1.1250        -456.5660    -458.7510       2.1851   318.9
1.1400        -456.6004    -458.6532       2.0529   299.7
1.1550        -456.6303    -458.5502       1.9199   280.2
1.1700        -456.6595    -458.6309       1.9715   287.8
1.1850        -456.6833    -458.4241       1.7408   254.1
1.2000        -456.7014    -458.4826       1.7812   260.0
