Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -456.7014    -458.4826       1.7812   260.0
0.0150        -456.6874    -458.6958       2.0084   293.2
0.0300        -456.6420    -458.8027       2.1607   315.4
0.0450        -456.5725    -458.2523       1.6797   245.2
0.0600        -456.4936    -458.3319       1.8383   268.3
0.0750        -456.3710    -458.8221       2.4511   357.8
0.0900        -456.2427    -458.3650       2.1223   309.8
0.1050        -456.1322    -458.4474       2.3152   338.0
0.1200        -456.0288    -458.1386       2.1098   308.0
0.1350        -455.9344    -458.2630       2.3286   339.9
0.1500        -455.8302    -458.0955       2.2653   330.7
0.1650        -455.7328    -457.7792       2.0464   298.7
0.1800        -455.6172    -458.1404       2.5232   368.3
0.1950        -455.4843    -457.8463       2.3621   344.8
0.2100        -455.3419    -458.2083       2.8664   418.4
0.2250        -455.1709    -458.0172       2.8463   415.5
0.2400        -455.0145    -457.7459       2.7314   398.7
0.2550        -454.8509    -457.5429       2.6920   393.0
0.2700        -454.6981    -457.1696       2.4715   360.8
0.2850        -454.5283    -457.7993       3.2709   477.5
0.3000        -454.3234    -457.5634       3.2400   472.9
0.3150        -454.1364    -457.3368       3.2004   467.2
0.3300        -453.9383    -457.2432       3.3049   482.4
0.3450        -453.7431    -456.9348       3.1917   465.9
0.3600        -453.5446    -457.0089       3.4643   505.7
0.3750        -453.3374    -456.4623       3.1249   456.1
0.3900        -453.1482    -456.4729       3.3247   485.3
0.4050        -452.9161    -457.0230       4.1069   599.5
0.4200        -452.6598    -457.0406       4.3808   639.5
0.4350        -452.3960    -457.0840       4.6880   684.3
0.4500        -452.1570    -455.5045       3.3475   488.6
0.4650        -451.9697    -455.5366       3.5669   520.7
0.4800        -451.7189    -456.3624       4.6435   677.8
0.4950        -451.4492    -455.8327       4.3836   639.9
0.5100        -451.1773    -456.4123       5.2350   764.1
0.5250        -450.8901    -455.7812       4.8911   714.0
0.5400        -450.6220    -455.7945       5.1724   755.0
0.5550        -450.3483    -455.1872       4.8388   706.3
0.5700        -450.1080    -454.4259       4.3180   630.3
0.5850        -449.8628    -454.5082       4.6454   678.1
0.6000        -449.6075    -454.2105       4.6029   671.9
0.6150        -449.3339    -454.7744       5.4405   794.1
0.6300        -449.0072    -455.8780       6.8707  1002.9
0.6450        -448.6630    -456.0976       7.4346  1085.2
0.6600        -448.3592    -454.6338       6.2745   915.9
0.6750        -448.1354    -453.1053       4.9700   725.5
0.6900        -447.9108    -453.4851       5.5743   813.7
0.7050        -447.6502    -453.5055       5.8553   854.7
0.7200        -447.3949    -453.0576       5.6627   826.6
0.7350        -447.1247    -453.9922       6.8675  1002.4
0.7500        -446.8318    -453.7970       6.9652  1016.7
0.7650        -446.5576    -453.6986       7.1411  1042.4
0.7800        -446.2978    -453.5184       7.2206  1054.0
0.7950        -446.0672    -453.0941       7.0269  1025.7
0.8100        -445.8458    -453.1324       7.2866  1063.6
0.8250        -445.6402    -452.0713       6.4311   938.7
0.8400        -445.4419    -453.3709       7.9291  1157.4
0.8550        -445.2352    -452.9513       7.7161  1126.3
0.8700        -445.0625    -453.0986       8.0361  1173.0
0.8850        -444.9161    -451.8866       6.9705  1017.5
0.9000        -444.7974    -451.3220       6.5245   952.4
0.9150        -444.6689    -452.2124       7.5435  1101.1
0.9300        -444.5353    -452.1085       7.5732  1105.5
0.9450        -444.4262    -452.8526       8.4264  1230.0
0.9600        -444.3408    -452.6697       8.3289  1215.8
0.9750        -444.2949    -452.5244       8.2295  1201.3
0.9900        -444.2755    -451.2628       6.9873  1019.9
1.0050        -444.2653    -451.0324       6.7672   987.8
1.0200        -444.2626    -452.1747       7.9121  1154.9
1.0350        -444.2641    -451.1267       6.8627  1001.7
1.0500        -444.2862    -453.3096       9.0234  1317.1
1.0650        -444.3619    -453.6721       9.3102  1359.0
1.0800        -444.4878    -452.5551       8.0673  1177.6
1.0950        -444.6464    -452.9976       8.3512  1219.0
1.1100        -444.8169    -451.5301       6.7131   979.9
1.1250        -444.9723    -452.0233       7.0510  1029.2
1.1400        -445.1228    -451.1238       6.0010   876.0
1.1550        -445.2394    -451.4638       6.2244   908.6
1.1700        -445.3741    -453.1542       7.7801  1135.7
1.1850        -445.5346    -452.9511       7.4165  1082.6
1.2000        -445.6888    -453.1144       7.4256  1083.9
1.2150        -445.8931    -454.4219       8.5287  1244.9
