Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -446.8572    -453.0428       6.1855   902.9
0.0150        -446.8577    -453.8464       6.9887  1020.1
0.0300        -446.8538    -453.9401       7.0863  1034.4
0.0450        -446.8559    -454.1329       7.2770  1062.2
0.0600        -446.8731    -453.9723       7.0992  1036.3
0.0750        -446.8899    -452.7228       5.8329   851.4
0.0900        -446.8952    -452.9410       6.0458   882.5
0.1050        -446.8890    -453.6298       6.7408   984.0
0.1200        -446.8801    -453.0010       6.1209   893.5
0.1350        -446.8698    -453.4755       6.6056   964.2
0.1500        -446.8517    -453.5036       6.6520   971.0
0.1650        -446.8303    -453.3472       6.5168   951.3
0.1800        -446.8195    -454.7349       7.9154  1155.4
0.1950        -446.8218    -453.5926       6.7708   988.3
0.2100        -446.8394    -453.1312       6.2917   918.4
0.2250        -446.8603    -453.2342       6.3739   930.4
0.2400        -446.8841    -453.7312       6.8472   999.5
0.2550        -446.9282    -453.5263       6.5981   963.1
0.2700        -446.9687    -452.2181       5.2494   766.2
0.2850        -447.0244    -454.6765       7.6520  1117.0
0.3000        -447.1139    -453.8460       6.7322   982.7
0.3150        -447.2060    -452.7186       5.5126   804.7
0.3300        -447.3241    -454.6119       7.2877  1063.8
0.3450        -447.4704    -453.3357       5.8653   856.1
0.3600        -447.6058    -453.5878       5.9820   873.2
0.3750        -447.7607    -453.9153       6.1546   898.4
0.3900        -447.9004    -453.2709       5.3705   783.9
0.4050        -448.0597    -454.7974       6.7377   983.5
0.4200        -448.2218    -453.7885       5.5667   812.6
0.4350        -448.3536    -453.5711       5.2174   761.6
0.4500        -448.4834    -454.6701       6.1867   903.1
0.4650        -448.6312    -455.0190       6.3878   932.4
0.4800        -448.7743    -454.5004       5.7261   835.8
0.4950        -448.8915    -454.2188       5.3273   777.6
0.5100        -449.0108    -455.4683       6.4575   942.6
0.5250        -449.1292    -454.0608       4.9317   719.9
0.5400        -449.2070    -454.0711       4.8641   710.0
0.5550        -449.2923    -455.7262       6.4339   939.1
0.5700        -449.3717    -454.2856       4.9139   717.3
0.5850        -449.4436    -455.3327       5.8891   859.6
0.6000        -449.5132    -454.8507       5.3374   779.1
0.6150        -449.5798    -455.4161       5.8363   851.9
0.6300        -449.6522    -455.1840       5.5319   807.5
0.6450        -449.7087    -454.0846       4.3759   638.7
0.6600        -449.7501    -454.9852       5.2351   764.2
0.6750        -449.7868    -454.9625       5.1757   755.5
0.6900        -449.8203    -455.2395       5.4192   791.0
0.7050        -449.8591    -455.4253       5.5661   812.5
0.7200        -449.8906    -454.5760       4.6854   683.9
0.7350        -449.9274    -455.8792       5.9518   868.8
0.7500        -449.9630    -454.6045       4.6415   677.5
0.7650        -449.9934    -455.1706       5.1772   755.7
0.7800        -450.0309    -455.8310       5.8001   846.6
0.7950        -450.0717    -454.9392       4.8675   710.5
0.8100        -450.1241    -455.7286       5.6046   818.1
0.8250        -450.1781    -454.9098       4.7317   690.7
0.8400        -450.2336    -455.1158       4.8822   712.6
0.8550        -450.2872    -454.5348       4.2476   620.0
0.8700        -450.3300    -454.7392       4.4092   643.6
0.8850        -450.3829    -455.7044       5.3215   776.8
0.9000        -450.4401    -455.0829       4.6428   677.7
0.9150        -450.5155    -455.9185       5.4029   788.7
0.9300        -450.6150    -455.5520       4.9370   720.7
0.9450        -450.7278    -455.4934       4.7656   695.6
0.9600        -450.8550    -455.2976       4.4426   648.5
0.9750        -450.9841    -455.1899       4.2059   613.9
0.9900        -451.1204    -455.4892       4.3688   637.7
1.0050        -451.2646    -455.8262       4.5615   665.8
1.0200        -451.4221    -456.2804       4.8583   709.2
1.0350        -451.5998    -456.7090       5.1092   745.8
1.0500        -451.7635    -456.1128       4.3493   634.9
1.0650        -451.9024    -455.9818       4.0794   595.5
1.0800        -452.0146    -456.3550       4.3404   633.6
1.0950        -452.1193    -456.4430       4.3237   631.1
1.1100        -452.1963    -455.7240       3.5276   514.9
1.1250        -452.2453    -456.0556       3.8103   556.2
1.1400        -452.2827    -456.2025       3.9198   572.2
1.1550        -452.3086    -456.3335       4.0249   587.5
1.1700        -452.3232    -456.3088       3.9856   581.8
1.1850        -452.3325    -456.3440       4.0115   585.6
1.2000        -452.3336    -456.4065       4.0728   594.5
1.2150        -452.3334    -456.7143       4.3809   639.5
1.2300        -452.3338    -456.7485       4.4147   644.4
1.2450        -452.3391    -456.8372       4.4980   656.6
1.2600        -452.3450    -455.7978       3.4528   504.0
1.2750        -452.3424    -455.8607       3.5183   513.6
1.2900        -452.3297    -456.5754       4.2457   619.7
1.3050        -452.3114    -455.8910       3.5796   522.5
1.3200        -452.2931    -456.4053       4.1122   600.3
1.3350        -452.2693    -456.2926       4.0233   587.3
1.3500        -452.2458    -456.4773       4.2314   617.7
1.3650        -452.2263    -456.6382       4.4119   644.0
1.3800        -452.2110    -455.7214       3.5104   512.4
1.3950        -452.1970    -456.6418       4.4448   648.8
1.4100        -452.1852    -456.2279       4.0427   590.1
1.4250        -452.1798    -456.1038       3.9240   572.8
1.4400        -452.1777    -456.7786       4.6009   671.6
1.4550        -452.1929    -456.6455       4.4526   649.9
1.4700        -452.2250    -456.1491       3.9241   572.8
1.4850        -452.2634    -455.6521       3.3887   494.6
1.5000        -452.3064    -456.2629       3.9565   577.5
1.5150        -452.3780    -456.7963       4.4183   644.9
1.5300        -452.4626    -455.6753       3.2127   469.0
1.5450        -452.5667    -456.9678       4.4011   642.4
1.5600        -452.7291    -457.0087       4.2795   624.7
1.5750        -452.8937    -456.3493       3.4556   504.4
1.5900        -453.0565    -456.7938       3.7372   545.5
1.6050        -453.2282    -456.9554       3.7272   544.1
1.6200        -453.3849    -456.9322       3.5473   517.8
1.6350        -453.4999    -456.4852       2.9853   435.8
1.6500        -453.6033    -457.5323       3.9290   573.5
1.6650        -453.7090    -457.4658       3.7568   548.4
1.6800        -453.7852    -456.4941       2.7089   395.4
1.6950        -453.8379    -456.9435       3.1056   453.3
1.7100        -453.8854    -457.1913       3.3058   482.5
1.7250        -453.9311    -457.1273       3.1963   466.6
1.7400        -453.9686    -456.9074       2.9388   429.0
1.7550        -454.0006    -457.2753       3.2746   478.0
1.7700        -454.0460    -457.8856       3.8396   560.5
